name,group
Buckingham Fountain,downtown
State St & Harrison St,downtown
Dusable Harbor,downtown
Field Blvd & South Water St,downtown
Wacker Dr & Washington St,downtown
Aberdeen St & Jackson Blvd,downtown
Fairbanks Ct & Grand Ave,downtown
Michigan Ave & Pearson St,downtown
McClurg Ct & Illinois St,downtown
Franklin St & Chicago Ave,downtown
Racine Ave & Congress Pkwy,downtown
State St & Van Buren St,downtown
Streeter Dr & Grand Ave,downtown
Franklin St & Jackson Blvd,downtown
Dearborn St & Adams St,downtown
Clark St & Lake St,downtown
Wabash Ave & Adams St,downtown
LaSalle St & Adams St,downtown
Michigan Ave & Washington St,downtown
State St & Randolph St,downtown
Michigan Ave & Ida B Wells Dr,downtown
State St & Kinzie St,downtown
Larrabee St & Kingsbury St,downtown
Dearborn St & Monroe St,downtown
Clark St & Ida B Wells Dr,downtown
Clark St & Randolph St,downtown
Michigan Ave & Lake St,downtown
Wells St & Huron St,downtown
Ogden Ave & Chicago Ave,downtown
Desplaines St & Kinzie St,downtown
Clinton St & Lake St,downtown
Clinton St & Tilden St,downtown
Morgan St & Lake St,downtown
Jefferson St & Monroe St,downtown
Kingsbury St & Erie St,downtown
Canal St & Jackson Blvd,downtown
Lake Shore Dr & Monroe St,downtown
Clinton St & Madison St,downtown
Aberdeen St & Monroe St,downtown
Daley Center Plaza,downtown
Milwaukee Ave & Grand Ave,downtown
Eckhart Park,downtown
Racine Ave & Randolph St,downtown
Financial Pl & Ida B Wells Dr,downtown
Millennium Park,downtown
Clinton St & Washington Blvd,downtown
Carpenter St & Huron St,downtown
Desplaines St & Randolph St,downtown
LaSalle St & Washington St,downtown
Lake Shore Dr & Ohio St,downtown
Orleans St & Merchandise Mart Plaza,downtown
State St & Pearson St,downtown
Desplaines St & Jackson Blvd,downtown
900 W Harrison St,downtown
Dearborn St & Erie St,downtown
Sedgwick St & Huron St,downtown
Dearborn St & Van Buren St,downtown
Aberdeen St & Randolph St,downtown
Green St & Randolph St,downtown
LaSalle Dr & Huron St,downtown
Michigan Ave & 8th St,downtown
Malcolm X College,downtown
Ashland Ave & Lake St,downtown
Ogden Ave & Congress Pkwy,downtown
Fairbanks St & Superior St,downtown
Orleans St & Hubbard St,downtown
Rush St & Hubbard St,downtown
Clinton St & Jackson Blvd,downtown
Wood St & Chicago Ave (*),downtown
Kingsbury St & Kinzie St,downtown
Peoria St & Jackson Blvd,downtown
McClurg Ct & Erie St,downtown
Racine Ave & Washington Blvd (*),downtown
Loomis St & Jackson Blvd,downtown
Franklin St & Illinois St,downtown
Rush St & Superior St,downtown
Franklin St & Lake St,downtown
Canal St & Harrison St,downtown
